Peer IP,Direction,Destination Port
99.83.237.20,Sent,443
185.221.85.4,Sent,443
75.2.101.69,Sent,443
20.189.173.9,Sent,443
185.221.87.29,Sent,443
23.214.157.121,Sent,80
185.221.85.8,Sent,443
54.73.18.116,Sent,443
104.77.160.220,Sent,443
23.204.224.91,Sent,80
52.182.143.214,Sent,443
185.221.87.32,Sent,443
15.197.229.100,Sent,443
20.190.159.23,Sent,443
20.223.36.55,Sent,443
146.75.74.172,Sent,80
18.245.143.93,Sent,443
150.171.22.17,Sent,443
176.34.66.104,Sent,443
104.77.160.221,Sent,443
13.89.179.13,Sent,443
18.245.143.22,Sent,443
2.16.153.209,Sent,443
52.223.27.83,Sent,443
13.107.246.64,Sent,443
18.245.143.23,Sent,443
150.171.27.11,Sent,80
150.171.27.11,Sent,443
150.171.28.11,Sent,80
150.171.28.11,Sent,443
13.89.179.10,Sent,443
2.16.153.224,Sent,443
104.77.160.205,Sent,443
142.250.140.94,Sent,443
72.154.7.109,Sent,443
2.23.221.196,Sent,443
104.46.162.227,Sent,443
20.190.160.66,Sent,443
52.183.220.149,Sent,443
40.119.249.228,Sent,443
20.190.160.132,Sent,443
20.190.160.22,Sent,443
20.31.169.57,Sent,443
185.160.60.100,Sent,80
18.245.143.5,Sent,443
104.77.160.206,Sent,443
52.178.17.235,Sent,443
20.190.160.130,Sent,443
13.71.55.58,Sent,443
40.126.31.67,Sent,443
20.44.10.122,Sent,443
104.77.160.222,Sent,443
40.126.32.138,Sent,443
20.49.150.241,Sent,443
35.71.166.34,Sent,443
20.189.173.18,Sent,443
40.126.32.74,Sent,443
20.103.156.88,Sent,443
217.20.56.99,Sent,80
104.77.160.198,Sent,443
92.123.128.149,Sent,443
20.44.239.154,Sent,443
91.80.49.22,Sent,80
52.168.117.169,Sent,443
104.77.160.209,Sent,443
3.33.220.55,Sent,443
20.223.35.26,Sent,443
13.107.5.93,Sent,443
54.154.76.59,Sent,443
40.74.98.194,Sent,443
104.77.160.197,Sent,443
20.189.173.7,Sent,443
20.12.23.50,Sent,443
40.69.42.241,Sent,443
20.42.65.91,Sent,443
173.222.13.40,Sent,80
20.190.159.75,Sent,443
2.16.153.13,Sent,80
2.16.153.11,Sent,80
104.77.160.199,Sent,443
13.89.179.14,Sent,443
20.42.72.131,Sent,443
104.77.160.201,Sent,443
104.208.16.89,Sent,443
20.190.160.2,Sent,443
104.77.160.218,Sent,443
92.123.128.190,Sent,443
184.50.114.160,Sent,80
20.190.159.130,Sent,443
52.167.17.97,Sent,443
142.251.15.94,Sent,443
20.42.65.93,Sent,443
20.190.159.4,Sent,443
20.199.58.43,Sent,443
13.89.179.9,Sent,443
72.154.7.99,Sent,443
20.165.94.46,Sent,443
40.126.31.130,Sent,443
52.168.112.66,Sent,443
23.219.197.165,Sent,443
128.251.127.23,Sent,443
172.66.0.157,Sent,443
104.18.21.213,Sent,80
52.191.219.104,Sent,443
52.168.117.174,Sent,443
10.239.61.95,Sent,443
10.239.61.165,Sent,443
10.239.61.42,Sent,443
20.190.160.67,Sent,443
52.185.211.133,Sent,443
52.178.17.2,Sent,443
40.126.31.3,Sent,443
92.123.128.161,Sent,443
184.50.114.161,Sent,80
